System.Single,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion
0,020000,(0.024712| 0.005325| 0.316980),(0.164058| -0.983359| -0.013316| -0.076894),(-0.007109| 0.013002| 0.323818),(0.205517| -0.415464| -0.326846| -0.823605),(-0.023817| 0.025026| 0.327782),(0.133022| -0.444697| -0.442180| -0.767481),(-0.049798| 0.047013| 0.336164),(-0.046092| 0.491710| 0.386972| 0.778685),(-0.061097| 0.063240| 0.344303),(0.124795| 0.564846| 0.265048| 0.771444),(-0.016621| 0.049724| 0.310722),(0.257893| -0.960977| -0.079951| -0.060193),(-0.042482| 0.090308| 0.322273),(0.283060| -0.930019| -0.233618| -0.019103),(-0.056175| 0.107810| 0.338005),(0.268832| -0.845037| -0.458955| 0.054792),(-0.061812| 0.113382| 0.351251),(0.253416| -0.774309| -0.572089| 0.094554),(-0.003344| 0.056522| 0.311904),(0.183467| -0.968108| -0.100645| -0.137760),(-0.023123| 0.101982| 0.321739),(0.187878| -0.960174| -0.164818| -0.124911),(-0.036264| 0.125793| 0.336009),(0.211628| -0.869115| -0.442618| -0.062785),(-0.043520| 0.133294| 0.350316),(0.216751| -0.780664| -0.585661| -0.024170),(0.010645| 0.059315| 0.315988),(0.105327| -0.974581| -0.104463| -0.167885),(-0.000746| 0.103203| 0.323960),(0.113110| -0.972901| -0.112175| -0.167589),(-0.009857| 0.128797| 0.334622),(0.151683| -0.907395| -0.369469| -0.130842),(-0.016499| 0.139487| 0.346676),(0.166781| -0.850008| -0.487645| -0.108962),(0.023856| 0.059005| 0.323502),(0.029795| -0.965843| -0.084200| -0.243248),(0.020417| 0.098339| 0.330390),(0.005374| -0.964372| -0.111369| -0.239906),(0.017113| 0.118666| 0.338594),(0.068306| -0.900427| -0.362942| -0.229866),(0.012846| 0.127970| 0.347623),(0.086297| -0.868753| -0.433338| -0.223694)
0,040000,(0.001758| 0.000777| 0.002225),(0.012152| 0.008139| 0.003578| 0.999887),(-0.032117| 0.007394| 0.008061),(0.435354| -0.730095| 0.126430| 0.511316),(-0.048997| 0.019057| 0.012335),(0.550710| -0.645955| 0.065445| 0.524574),(-0.075319| 0.040414| 0.021234),(-0.504380| 0.659520| 0.030575| -0.556507),(-0.086975| 0.056247| 0.029670),(-0.397333| 0.662164| 0.214190| -0.598154),(-0.041690| 0.044311| -0.004477),(0.050987| 0.019930| 0.095883| 0.993886),(-0.067322| 0.084699| 0.008040),(0.200190| 0.084884| 0.139739| 0.966019),(-0.080926| 0.101877| 0.024307),(0.405523| 0.184395| 0.161229| 0.880656),(-0.086634| 0.107303| 0.037612),(0.506706| 0.233777| 0.168792| 0.812469),(-0.028376| 0.051049| -0.003367),(0.088822| -0.049984| 0.020285| 0.994586),(-0.047955| 0.096304| 0.007597),(0.159000| -0.024110| 0.032335| 0.986454),(-0.060927| 0.119727| 0.022738),(0.417648| 0.072914| 0.091859| 0.901008),(-0.068012| 0.126865| 0.037303),(0.555242| 0.128006| 0.123711| 0.812414),(-0.014335| 0.053735| 0.000603),(0.102466| -0.075985| -0.058377| 0.990111),(-0.025429| 0.097581| 0.009170),(0.108090| -0.075035| -0.051807| 0.989951),(-0.034199| 0.123336| 0.019952),(0.343144| -0.006661| 0.012122| 0.939181),(-0.040582| 0.134416| 0.031806),(0.447042| 0.026036| 0.042269| 0.893135),(-0.001049| 0.053303| 0.007975),(0.100056| -0.151668| -0.135055| 0.974036),(-0.004211| 0.092564| 0.015397),(0.128358| -0.142852| -0.159652| 0.968312),(-0.007213| 0.112864| 0.023874),(0.367255| -0.100104| -0.072078| 0.921904),(-0.011210| 0.122252| 0.032955),(0.428273| -0.087245| -0.047186| 0.898190)
0,060000,(0.002856| 0.001060| 0.002125),(0.029291| 0.015669| 0.013326| 0.999359),(-0.032579| 0.006205| 0.009334),(0.450571| -0.727276| 0.071705| 0.512751),(-0.049499| 0.017412| 0.014592),(0.561837| -0.638026| 0.012173| 0.526416),(-0.076182| 0.037782| 0.024898),(-0.518556| 0.648082| 0.069166| -0.553450),(-0.088908| 0.052773| 0.033754),(-0.427003| 0.650822| 0.215941| -0.589465),(-0.042975| 0.043525| -0.001158),(0.047936| 0.013898| 0.089438| 0.994741),(-0.069239| 0.082543| 0.013965),(0.198840| 0.078152| 0.147188| 0.965759),(-0.083769| 0.098892| 0.030769),(0.359757| 0.159275| 0.173023| 0.902923),(-0.090586| 0.104803| 0.043418),(0.428429| 0.194219| 0.182665| 0.863343),(-0.029740| 0.050416| -0.000103),(0.084890| -0.051098| 0.009158| 0.995037),(-0.049952| 0.094592| 0.013683),(0.159688| -0.023796| 0.028991| 0.986455),(-0.063499| 0.117686| 0.029680),(0.371759| 0.057831| 0.081794| 0.922909),(-0.071025| 0.125766| 0.043628),(0.481322| 0.102160| 0.109361| 0.863674),(-0.015638| 0.053132| 0.003618),(0.096730| -0.072599| -0.071111| 0.990109),(-0.027069| 0.096451| 0.014240),(0.093673| -0.074532| -0.065623| 0.990638),(-0.035761| 0.122600| 0.025109),(0.283118| -0.019054| -0.015242| 0.958775),(-0.041867| 0.134908| 0.035949),(0.360646| 0.004963| 0.006553| 0.932667),(-0.002151| 0.052556| 0.010611),(0.093641| -0.144127| -0.151525| 0.973396),(-0.005481| 0.091464| 0.019721),(0.110888| -0.135078| -0.181325| 0.967770),(-0.008071| 0.111919| 0.028481),(0.319858| -0.099060| -0.109960| 0.935835),(-0.011412| 0.121953| 0.037172),(0.361215| -0.090975| -0.094400| 0.923221)
0,080000,(0.001843| 0.001951| 0.000843),(0.023971| 0.009533| 0.010177| 0.999616),(-0.032730| 0.005103| 0.010563),(0.462591| -0.721219| 0.030690| 0.514695),(-0.049572| 0.016138| 0.016416),(0.563936| -0.633400| -0.028084| 0.529144),(-0.076489| 0.035955| 0.027403),(-0.526747| 0.641553| 0.091845| -0.550011),(-0.090292| 0.050258| 0.036135),(-0.454538| 0.646646| 0.201400| -0.578517),(-0.043899| 0.042614| 0.001732),(0.044882| 0.010626| 0.087216| 0.995121),(-0.070782| 0.080743| 0.018309),(0.181242| 0.066794| 0.149262| 0.969748),(-0.086153| 0.097314| 0.034518),(0.295366| 0.125730| 0.171691| 0.931382),(-0.094041| 0.104564| 0.045833),(0.324462| 0.140892| 0.177149| 0.918418),(-0.030775| 0.049713| 0.002809),(0.081456| -0.050128| 0.003513| 0.995409),(-0.051650| 0.092605| 0.019248),(0.171275| -0.017319| 0.030334| 0.984604),(-0.065534| 0.114378| 0.037002),(0.370478| 0.062195| 0.079384| 0.923351),(-0.072910| 0.121313| 0.051588),(0.503496| 0.118034| 0.112584| 0.848461),(-0.016648| 0.052514| 0.006378),(0.092164| -0.067909| -0.077812| 0.990374),(-0.028582| 0.095303| 0.018553),(0.080290| -0.073198| -0.072185| 0.991456),(-0.037440| 0.121632| 0.029458),(0.237721| -0.026306| -0.030117| 0.970510),(-0.043477| 0.134615| 0.039595),(0.301947| -0.006332| -0.012140| 0.953227),(-0.003023| 0.051895| 0.013096),(0.088902| -0.135933| -0.161166| 0.973470),(-0.006831| 0.090411| 0.023651),(0.101160| -0.126634| -0.189719| 0.968369),(-0.009492| 0.110864| 0.032763),(0.285993| -0.094568| -0.127814| 0.944949),(-0.012626| 0.121146| 0.041270),(0.322503| -0.087549| -0.114458| 0.935535)
0,100000,(0.001819| 0.001308| 0.000368),(0.007555| -0.014391| 0.010674| 0.999811),(-0.033230| 0.004190| 0.009265),(0.479635| -0.707123| 0.024966| 0.518945),(-0.050213| 0.015130| 0.014883),(0.571046| -0.624770| -0.027632| 0.531795),(-0.077721| 0.034572| 0.025192),(0.541756| -0.633114| -0.076804| 0.547511),(-0.092642| 0.048358| 0.033063),(-0.486344| 0.642186| 0.161402| -0.570102),(-0.045067| 0.041687| 0.001298),(0.048131| 0.019175| 0.087869| 0.994784),(-0.073086| 0.079190| 0.017863),(0.162098| 0.065972| 0.153180| 0.972578),(-0.089494| 0.096154| 0.032808),(0.245893| 0.111841| 0.172146| 0.947309),(-0.098223| 0.104272| 0.042859),(0.261602| 0.120510| 0.175555| 0.941394),(-0.032094| 0.049010| 0.002660),(0.087572| -0.039073| 0.003689| 0.995385),(-0.054159| 0.090745| 0.020250),(0.184264| -0.002748| 0.039069| 0.982096),(-0.068794| 0.111021| 0.038947),(0.389600| 0.084758| 0.095271| 0.912114),(-0.076098| 0.115904| 0.054119),(0.570073| 0.166056| 0.145372| 0.791397),(-0.018068| 0.052010| 0.006455),(0.100180| -0.054999| -0.077751| 0.990401),(-0.030957| 0.094376| 0.019037),(0.073647| -0.065843| -0.073039| 0.992425),(-0.040371| 0.120939| 0.029182),(0.205901| -0.024167| -0.032834| 0.977723),(-0.046709| 0.134440| 0.038414),(0.267194| -0.004212| -0.013523| 0.963539),(-0.004504| 0.051488| 0.013304),(0.099858| -0.121502| -0.162503| 0.974094),(-0.009025| 0.089758| 0.024419),(0.098611| -0.114401| -0.194823| 0.969140),(-0.011829| 0.110390| 0.033243),(0.263919| -0.083846| -0.135694| 0.951264),(-0.014919| 0.121042| 0.041291),(0.295767| -0.077468| -0.123382| 0.944086)
0,120000,(0.002656| 0.001556| -0.000632),(0.007274| -0.027570| 0.004217| 0.999585),(-0.033741| 0.003694| 0.007505),(0.486022| -0.696418| 0.035580| 0.526801),(-0.050911| 0.014649| 0.012510),(0.571627| -0.619051| -0.010044| 0.538441),(-0.078964| 0.033935| 0.021672),(0.549530| -0.625770| -0.051500| 0.551159),(-0.094611| 0.047402| 0.028708),(-0.504111| 0.634341| 0.129524| -0.571582),(-0.045756| 0.041192| -0.000190),(0.045186| 0.030243| 0.091900| 0.994283),(-0.074772| 0.078311| 0.015751),(0.145295| 0.071470| 0.160253| 0.973704),(-0.091949| 0.095479| 0.029666),(0.214097| 0.111275| 0.176253| 0.954314),(-0.101154| 0.103927| 0.038996),(0.236518| 0.124183| 0.181361| 0.946439),(-0.032912| 0.048636| 0.001673),(0.088813| -0.026257| 0.008608| 0.995665),(-0.056210| 0.089337| 0.019778),(0.197966| 0.015295| 0.057396| 0.978408),(-0.071707| 0.107592| 0.039424),(0.424306| 0.115977| 0.130904| 0.888469),(-0.078696| 0.109451| 0.054961),(0.654388| 0.225276| 0.206326| 0.691705),(-0.019048| 0.051733| 0.005959),(0.105070| -0.040817| -0.072458| 0.990981),(-0.032827| 0.093839| 0.018388),(0.066782| -0.056503| -0.069044| 0.993771),(-0.042823| 0.120590| 0.027634),(0.180834| -0.019373| -0.027453| 0.982940),(-0.049559| 0.134440| 0.036025),(0.242052| 0.001074| -0.004535| 0.970252),(-0.005699| 0.051249| 0.013226),(0.109065| -0.106152| -0.158194| 0.975608),(-0.010925| 0.089359| 0.024552),(0.099129| -0.101129| -0.192737| 0.970978),(-0.014015| 0.110154| 0.033026),(0.247237| -0.073049| -0.131957| 0.957144),(-0.017230| 0.121124| 0.040583),(0.273439| -0.067756| -0.120480| 0.951906)
0,140000,(0.001875| 0.001041| -0.003907),(0.000387| -0.006139| -0.007233| 0.999955),(-0.033114| 0.004101| 0.007053),(0.482062| -0.702524| 0.044227| 0.521651),(-0.050298| 0.015151| 0.011813),(0.566810| -0.627254| -0.001955| 0.534112),(-0.078429| 0.034507| 0.020646),(0.548237| -0.631162| -0.043886| 0.546941),(-0.094082| 0.047928| 0.027733),(0.503788| -0.634809| -0.133883| 0.570342),(-0.044900| 0.041689| -0.000595),(0.047442| 0.025076| 0.099761| 0.993563),(-0.074134| 0.078591| 0.015343),(0.154820| 0.070064| 0.169117| 0.970835),(-0.091375| 0.095574| 0.029465),(0.220500| 0.108825| 0.181463| 0.952160),(-0.100485| 0.103802| 0.039083),(0.265579| 0.135393| 0.189637| 0.935508),(-0.032091| 0.049112| 0.001590),(0.092040| -0.031390| 0.016965| 0.995116),(-0.055841| 0.089566| 0.019604),(0.203084| 0.009758| 0.070657| 0.976560),(-0.071818| 0.107426| 0.039191),(0.430074| 0.110733| 0.147435| 0.883763),(-0.078966| 0.108818| 0.054560),(-0.666920| -0.224711| -0.227349| -0.673079),(-0.018321| 0.052182| 0.006197),(0.109525| -0.045696| -0.063915| 0.990874),(-0.032443| 0.094218| 0.018506),(0.067172| -0.063269| -0.058578| 0.994009),(-0.042785| 0.120955| 0.027503),(0.180861| -0.026611| -0.015032| 0.983034),(-0.049819| 0.134687| 0.035852),(0.253176| -0.002573| 0.013379| 0.967324),(-0.005125| 0.051632| 0.013736),(0.114413| -0.110615| -0.149973| 0.975798),(-0.010636| 0.089693| 0.025138),(0.101397| -0.107013| -0.182373| 0.972115),(-0.013973| 0.110551| 0.033470),(0.243431| -0.080971| -0.120276| 0.959020),(-0.017402| 0.121563| 0.040893),(0.275905| -0.074591| -0.105241| 0.952490)
0,160000,(0.004160| -0.001738| -0.005569),(-0.008706| -0.012782| -0.017315| 0.999731),(-0.032712| 0.005315| 0.005402),(0.462864| -0.717418| 0.069280| 0.516013),(-0.049684| 0.016869| 0.009722),(0.550699| -0.644895| 0.019492| 0.529586),(-0.077363| 0.037085| 0.018019),(0.533056| -0.646868| -0.029682| 0.544548),(-0.092345| 0.051072| 0.025281),(0.484467| -0.643844| -0.146801| 0.573765),(-0.043313| 0.043164| -0.002885),(0.050815| 0.021232| 0.106613| 0.992774),(-0.071616| 0.080561| 0.012975),(0.186423| 0.081279| 0.169151| 0.964380),(-0.087676| 0.097166| 0.028632),(0.281631| 0.135248| 0.181225| 0.932496),(-0.095633| 0.104422| 0.039831),(0.358673| 0.179106| 0.189597| 0.896285),(-0.030396| 0.050255| -0.000299),(0.096147| -0.037493| 0.025811| 0.994326),(-0.053420| 0.091842| 0.016148),(0.191518| -0.003374| 0.070312| 0.978962),(-0.069122| 0.111393| 0.034257),(0.412092| 0.088904| 0.144111| 0.895270),(-0.077025| 0.115038| 0.049231),(-0.606486| -0.176191| -0.208703| -0.746709),(-0.016731| 0.053083| 0.004752),(0.115527| -0.053256| -0.054378| 0.990384),(-0.030582| 0.095260| 0.016923),(0.088646| -0.065640| -0.041610| 0.993027),(-0.041145| 0.121379| 0.026920),(0.230485| -0.021361| 0.011755| 0.972770),(-0.048469| 0.134037| 0.036523),(0.323368| 0.008957| 0.047813| 0.945022),(-0.003800| 0.052285| 0.012715),(0.120938| -0.119267| -0.139608| 0.975530),(-0.009230| 0.090443| 0.023842),(0.115893| -0.116696| -0.158594| 0.973550),(-0.013083| 0.111137| 0.032217),(0.264314| -0.090731| -0.087789| 0.956138),(-0.017088| 0.121772| 0.039851),(0.314197| -0.081161| -0.062457| 0.943818)
0,180000,(0.004991| -0.002364| -0.002781),(-0.012088| -0.004574| -0.010822| 0.999858),(-0.033052| 0.006136| 0.005017),(0.442443| -0.730202| 0.091248| 0.512567),(-0.049551| 0.018382| 0.009262),(0.534969| -0.658254| 0.027542| 0.528915),(-0.076156| 0.039874| 0.017741),(0.514448| -0.659147| -0.035750| 0.547348),(-0.089758| 0.054730| 0.025695),(0.456118| -0.648719| -0.184733| 0.580512),(-0.042274| 0.044100| -0.004469),(0.049447| 0.017013| 0.102216| 0.993387),(-0.069096| 0.082991| 0.010190),(0.192877| 0.081570| 0.147384| 0.966655),(-0.083832| 0.100622| 0.025819),(0.305263| 0.140193| 0.158541| 0.928453),(-0.090987| 0.108222| 0.037257),(0.383131| 0.180919| 0.164909| 0.890665),(-0.029197| 0.050843| -0.001744),(0.094358| -0.044863| 0.023548| 0.994248),(-0.050771| 0.093879| 0.012957),(0.182114| -0.013172| 0.055308| 0.981632),(-0.065492| 0.114679| 0.030152),(0.419892| 0.079445| 0.132689| 0.894300),(-0.073288| 0.119176| 0.045006),(0.599248| 0.154587| 0.191282| 0.761851),(-0.015552| 0.053386| 0.003506),(0.114461| -0.063081| -0.055916| 0.989845),(-0.028501| 0.096025| 0.015020),(0.105393| -0.069248| -0.038577| 0.991266),(-0.038778| 0.121624| 0.025913),(0.283319| -0.015312| 0.024269| 0.958596),(-0.046059| 0.133151| 0.036788),(0.394065| 0.020395| 0.065037| 0.916552),(-0.002806| 0.052390| 0.011741),(0.119346| -0.131213| -0.139354| 0.974228),(-0.007574| 0.090849| 0.022052),(0.124843| -0.128103| -0.149029| 0.972520),(-0.011540| 0.111364| 0.030463),(0.294337| -0.098464| -0.068891| 0.948117),(-0.015898| 0.121482| 0.038514),(0.360996| -0.085303| -0.034944| 0.928000)
0,200000,(0.004815| -0.003814| -0.000222),(-0.025684| -0.007541| -0.017846| 0.999482),(-0.032669| 0.007536| 0.003976),(0.417830| -0.739243| 0.133805| 0.510915),(-0.048825| 0.020216| 0.008224),(0.524624| -0.664484| 0.054341| 0.529413),(-0.074340| 0.042690| 0.017137),(0.497132| -0.666329| -0.031578| 0.554858),(-0.086183| 0.058322| 0.025955),(-0.422932| 0.650278| 0.215835| -0.593028),(-0.040603| 0.045293| -0.007327),(0.052108| 0.020391| 0.104059| 0.992996),(-0.065992| 0.085816| 0.005279),(0.198762| 0.084187| 0.136455| 0.966843),(-0.079811| 0.104494| 0.020305),(0.332116| 0.144450| 0.155993| 0.918966),(-0.086629| 0.112333| 0.031749),(0.410001| 0.179666| 0.166139| 0.878645),(-0.027368| 0.051753| -0.004655),(0.095995| -0.046653| 0.029136| 0.993861),(-0.047507| 0.096075| 0.008098),(0.190501| -0.013280| 0.054239| 0.980098),(-0.061402| 0.117341| 0.024935),(0.456291| 0.081908| 0.141948| 0.874609),(-0.068884| 0.121177| 0.040030),(0.652432| 0.158772| 0.207267| 0.711453),(-0.013714| 0.054072| 0.000676),(0.116570| -0.069325| -0.049056| 0.989545),(-0.025483| 0.097334| 0.011025),(0.131342| -0.067124| -0.031670| 0.988555),(-0.035145| 0.122744| 0.022441),(0.331456| -0.010785| 0.037138| 0.942678),(-0.042188| 0.133711| 0.033982),(0.445394| 0.023820| 0.078218| 0.891594),(-0.001119| 0.053037| 0.009128),(0.120254| -0.141510| -0.129107| 0.974087),(-0.005007| 0.091870| 0.018237),(0.146545| -0.135060| -0.134404| 0.970680),(-0.008823| 0.112239| 0.026764),(0.334652| -0.103355| -0.047899| 0.935431),(-0.013256| 0.122017| 0.035149),(0.403906| -0.089793| -0.013434| 0.910284)
